movie,likes,comments,shares
时间之子,9723.0,210.0,1680.0
时间之子,8029.0,73.0,955.0
时间之子,10906.0,549.0,1630.0
时间之子,3.0,4.0,0.0
恶兽,282.0,6.0,11.0
恶兽,30.0,3.0,1.0
恶兽,1547.0,105.0,105.0
恶兽,98.0,0.0,1.0
恶兽,71.0,7.0,2.0
哪吒,34506.0,4788.0,7231.0
哪吒,0.0,0.0,0.0
哪吒,3280.0,111.0,146.0
哪吒,5147.0,64.0,316.0
哪吒,3644.0,98.0,113.0
哪吒,8135.0,341.0,493.0
哪吒,11420.0,196.0,696.0
哪吒,153410.0,1358.0,23348.0
哪吒,21915.0,276.0,2237.0
哪吒,20050.0,192.0,918.0
哪吒,2878.0,108.0,708.0
棉花糖和云朵妈妈,1161.5,45.0,83.0
超级飞侠：乐迪加速,1161.5,45.0,83.0
欢乐丛林,1161.5,45.0,83.0
萌鼠大冒险,1161.5,45.0,83.0
百变马丁：怪兽大作战,1161.5,45.0,83.0
超级英雄美猴王：齐天儿,1161.5,45.0,83.0
飞向月球,1161.5,45.0,83.0
雪域少年,1161.5,45.0,83.0
龙珠寻游记,1161.5,45.0,83.0
嗨！神兽,1161.5,45.0,83.0
功夫王,1161.5,45.0,83.0
迷你特工队,1161.5,45.0,83.0
蚂蚁传奇,1161.5,45.0,83.0
四季童年,1161.5,45.0,83.0
舒克贝塔·五角飞碟,1161.5,45.0,83.0
江豚·风时舞,1161.5,45.0,83.0
新大头儿子和小头爸爸,1161.5,45.0,83.0
守龙者,1161.5,45.0,83.0
心源,1161.5,45.0,83.0
小诗人,1161.5,45.0,83.0
猪猪侠大电影·星际行动,1161.5,45.0,83.0
趣说经典,1161.5,45.0,83.0
罗小黑战记,1161.5,45.0,83.0
非人哉：限时玩家,1161.5,45.0,83.0
