,sum,mean
东郭先生,56666.0,534.5849056603773
小蛋壳,0.0,
女娲补天,124713.0,1176.5377358490566
假如我是武松,2247.0,21.19811320754717
狼来了,69108.0,651.9622641509434
鹿铃,9005.0,84.95283018867924
小熊猫学木匠,3575.0,33.72641509433962
曹冲称象,132871.0,1253.5
善良的夏吾冬,5723.0,53.990566037735846
抬驴,6915.0,65.23584905660377
猴子捞月,45044.0,424.9433962264151
崂山道士,78108.0,736.8679245283018
真假李逵,16672.0,157.28301886792454
南郭先生,47656.0,449.58490566037733
人参果,415920.0,3923.7735849056603
三个和尚,64571.0,609.1603773584906
张飞审瓜,5160.0,48.679245283018865
雪孩子,45056.0,425.0566037735849
老狼请客,13857.0,130.72641509433961
好猫咪咪,13484.0,127.20754716981132
愚人买鞋,2437.0,22.99056603773585
熊猫百货商店,11591.0,109.34905660377359
画廊一夜,1151.0,10.858490566037736
大英雄狄青,23956.0,226.0
猩猩探长,0.0,
牛牛和西西,0.0,
应该靠自己,0.0,
快乐家家车,14594.0,137.67924528301887
怪老头儿,17595.0,165.99056603773585
大盗贼,22436.0,211.66037735849056
汉化日记,36624.0,345.50943396226415
大雨,68006.0,641.566037735849
奶泡泡学成语,0.0,
瑞奇宝宝,42251.0,398.5943396226415
缔灵爱,0.0,
苍兰诀,455391.0,4296.141509433963
新·异常生物见闻录：序,0.0,
嫁人就嫁灰太狼,14268.0,134.60377358490567
明日方舟：焰烬曙明,0.0,
山海封神,0.0,
这个大佬画风不对,46746.0,441.0
重生,343947.0,3244.7830188679245
最强反套路系统,90645.0,855.1415094339623
我真的不想当,0.0,
我在末世搬金砖,0.0,
我的师傅每到大限才突破,34147.0,322.14150943396226
神豪,0.0,
从不出手的我混成了天榜大佬·,0.0,
从零开始当首富,0.0,
道君,112254.0,1059.0
掌门低调点,44583.0,420.5943396226415
最强神王,0.0,
我真不是大反派啊,0.0,
重生都市天尊,16254.0,153.33962264150944
开局一条鲲,0.0,
最强神赐,0.0,
系统逼我做反派,0.0,
圣尊助理的我已经无敌了,0.0,
都市阴阳仙医,0.0,
相亲式修真道侣,0.0,
最强弃少,129621.0,1222.8396226415093
大象无形,69147.0,652.3301886792453
龅牙的快乐生活,0.0,
金蚕往事,0.0,
天命出马仙,26880.0,253.58490566037736
亡灵天灾：我抬手百万骨海,0.0,
君有云,76860.0,725.0943396226415
航天双子星,0.0,
精灵蒲公英,0.0,
米乐米可,0.0,
跳跳鱼世界故事会,0.0,
新大头儿子和小头爸爸 智能小当家,0.0,
福娃,52764.0,497.77358490566036
封灵特优生,0.0,
灵笼,202669.0,1911.9716981132076
我的弟子遍布诸天万界,0.0,
U探泰拉,0.0,
大侠请上功,0.0,
反派师尊的我带着徒弟们天下无敌,20330.0,191.79245283018867
目标一亿积分,0.0,
念无双,192656.0,1817.5094339622642
凸变英雄x,25570.0,241.22641509433961
我的师兄太强了,99999.0,943.3867924528302
虹猫蓝兔海底历险记,9318.0,87.90566037735849
虹猫蓝兔七侠传,105841.0,998.5
海尔兄弟高清,751.0,7.084905660377358
凹凸世界·Reborn,0.0,
冰封末日：绝无生还之路,0.0,
真理面具,44194.0,416.92452830188677
长歌行,704561.0,6646.801886792453
木木博士,0.0,
猪多多,0.0,
君子无疾,0.0,
那年那兔那些事儿,68761.0,648.688679245283
