anime,score_x,votes_douban,comment_count,review_count
掌门低调点,8,0,86,1
最强神王,8,0,86,1
我真不是大反派啊,8,0,86,1
重生都市天尊,8,0,86,1
开局一条鲲,8,0,86,1
最强神赐,8,0,86,1
系统逼我做反派,8,0,86,1
圣尊助理的我已经无敌了,8,0,86,1
都市阴阳仙医,8,0,86,1
相亲式修真道侣,8,0,86,1
最强弃少,8,0,86,1
大象无形,8,0,8,0
龅牙的快乐生活,8,0,5,0
金蚕往事,8,0,100,3
天命出马仙,8,0,86,1
亡灵天灾：我抬手百万骨海,8,0,86,1
君有云,8,0,86,1
航天双子星,8,0,86,1
精灵蒲公英,8,0,86,1
米乐米可,8,0,86,1
跳跳鱼世界故事会,8,0,86,1
新大头儿子和小头爸爸 智能小当家,8,0,86,1
福娃,6,3456,100,5
封灵特优生,8,0,86,1
灵笼,8,0,86,1
我的弟子遍布诸天万界,8,0,86,1
U探泰拉,8,0,63,0
大侠请上功,8,0,26,0
反派师尊的我带着徒弟们天下无敌,8,0,86,1
目标一亿积分,8,0,86,1
念无双,6.9,64754,100,20
凸变英雄X,6.5,2811,100,20
我的师兄太强了,8,0,53,1
虹猫蓝兔海底历险记,7.6,313,48,0
虹猫蓝兔七侠传,9.6,134397,100,20
海尔兄弟高清,8,0,86,1
凹凸世界·Reborn,8,0,86,1
冰封末日：绝无生还之路,8,0,86,1
真理面具,8,0,86,1
长歌行,8,0,86,1
木木博士,8,0,86,1
猪多多,8,0,86,1
君子无疾,8,0,86,1
那年那兔那些事儿,8,0,86,1
三国演义,9.6,177180,100,19
小鲤鱼历险记,8.6,53259,100,20
蛮荒仙界,8,0,29,1
美猴王,8,0,86,1
哪吒传奇,9.1,75653,100,20
火凤燎原,8.6,9758,100,17
天命大主宰,8,0,19,1
赛几传说,8,0,4,0
请吃红小豆吧！食物世界,8,0,86,1
不白吃话山海经,8,0,86,1
聪明的阿凡提,8,0,86,1
知宝学堂,8,0,86,1
是王者啊？,8,0,86,1
宝宝乐学堂,8,0,86,1
可可小爱快乐学知识,8,0,86,1
小蜜蜂,8,0,86,1
欢乐小狮子,8,0,86,1
开心动物园,8,0,86,1
大侦探熊猫猪,8,0,86,1
