所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
屈原,"“你们披着艾蒿，却说幽兰丑陋”——越老越疯越美丽的美人【<em class=""keyword"">屈原</em>x蒋恺】",13332,40,408,山风与Nene,"历史,屈原,美人,影视剪辑,蒋恺,UP影剧综指南,剧综爆款夏令营-UP影剧综指南",BV16M4m167zd,https://www.bilibili.com/video/BV16M4m167zd
屈原,"【<em class=""keyword"">屈原</em>】山鬼|苏世独立，横而不流",2581,14,58,赋白_kaze,"历史,古风,剪辑,屈原,端午节,混剪,山鬼,Winky诗,影视神仙剪刀手,神仙剪刀手 4.0",BV1Gi421i7mD,https://www.bilibili.com/video/BV1Gi421i7mD
屈原,"【王姬｜最美南后】杜若子的美让<em class=""keyword"">屈原</em>欣赏，而娘娘的美让<em class=""keyword"">屈原</em>震撼！",16219,125,342,千秋万岁与天无极,"影娱新春游园会,经典好剧考古安利,王姬,《屈原》,蒋恺,南后,美人,影视剪辑,古装,最美",BV1pA41127h9,https://www.bilibili.com/video/BV1pA41127h9
屈原,"自↗己↘吓↗自↘己↗但是忘川<em class=""keyword"">屈原</em>",15445,16,352,醉中浑不记_,"鬼畜,历史,搞笑,娱乐,屈原,忘川,自己吓自己,沙雕,忘川风华录,史同,自己吓自己搞笑二创",BV1S1iBYpE9r,https://www.bilibili.com/video/BV1S1iBYpE9r
屈原,"自↗己↘吓↗自↘己↗但是忘川<em class=""keyword"">屈原</em>",15445,16,352,醉中浑不记_,"鬼畜,历史,搞笑,娱乐,屈原,忘川,自己吓自己,沙雕,忘川风华录,史同,自己吓自己搞笑二创",BV1S1iBYpE9r,https://www.bilibili.com/video/BV1S1iBYpE9r
屈原,"<em class=""keyword"">屈原</em>",74,1,1,叁一静读,"历史,读书,文学,经典,电影剪辑,文化,屈原,中国,人文,文言文",BV1WF411G794,https://www.bilibili.com/video/BV1WF411G794
屈原,"【祖峰 <em class=""keyword"">屈原</em>】唇红齿白的妻子哦不屈子",4121,1,94,谁家大黄狗不上学,"电视剧,屈原,祖峰,影视剪辑,芈月传",BV1cWc6eCEL4,https://www.bilibili.com/video/BV1cWc6eCEL4
屈原,"【蒋恺｜<em class=""keyword"">屈原</em>｜离骚】日月忽其不淹兮·春与秋其代序",20859,121,478,清幽庭院锁越王,"屈原,古装,端午,混剪,影视剪辑,离骚,蒋恺,影视神仙剪刀手,神仙剪刀手 4.0,1999屈原,蒋恺屈原",BV1qy411B74S,https://www.bilibili.com/video/BV1qy411B74S
屈原,"端午节，观看香港电影《<em class=""keyword"">屈原</em>》共同缅怀伟大的爱国诗人<em class=""keyword"">屈原</em>",4385,6,36,一十八经典影音,"电影剪辑,屈原,香港电影,端午节,缅怀,爱国诗人",BV14J411u7as,https://www.bilibili.com/video/BV14J411u7as
屈原,"【<em class=""keyword"">屈原</em>同人曲】《郢都遗梦》（造讬湘流•乙巳年端午<em class=""keyword"">屈原</em>忌辰12h/戍时）（填词原曲：《江湖不必问晴雨》）",824,0,70,故纸堆_历史企划,"同人曲,古风,动画短片,屈原,星尘,苍穹,先秦,历史同人,虚拟之声创作计划,虚拟之声创作计划·2025第二期,造讬湘流·乙巳年端午屈原忌辰12h",BV1okjMzCExP,https://www.bilibili.com/video/BV1okjMzCExP
屈原,"【蒋恺｜<em class=""keyword"">屈原</em>｜离骚】日月忽其不淹兮·春与秋其代序",20859,121,478,清幽庭院锁越王,"屈原,古装,端午,混剪,影视剪辑,离骚,蒋恺,影视神仙剪刀手,神仙剪刀手 4.0,1999屈原,蒋恺屈原",BV1qy411B74S,https://www.bilibili.com/video/BV1qy411B74S
屈原,"【忘川风华录】端午节了来看看<em class=""keyword"">屈原</em>的公嬷接力叭！(/≧▽≦)/~┴┴",3185,8,129,洺隐起晚了相当于白起,"二次元,同人,古风,屈原,端午节,历史同人,忘川风华录,必剪创作,画师激励计划,画师激励计划第四期,公嬷接力",BV1UL7Wz3Ejb,https://www.bilibili.com/video/BV1UL7Wz3Ejb
屈原,"【蒋恺｜<em class=""keyword"">屈原</em>｜离骚】日月忽其不淹兮·春与秋其代序",20859,121,478,清幽庭院锁越王,"屈原,古装,端午,混剪,影视剪辑,离骚,蒋恺,影视神仙剪刀手,神仙剪刀手 4.0,1999屈原,蒋恺屈原",BV1qy411B74S,https://www.bilibili.com/video/BV1qy411B74S
屈原,"端午节，观看香港电影《<em class=""keyword"">屈原</em>》共同缅怀伟大的爱国诗人<em class=""keyword"">屈原</em>",4385,6,36,一十八经典影音,"电影剪辑,屈原,香港电影,端午节,缅怀,爱国诗人",BV14J411u7as,https://www.bilibili.com/video/BV14J411u7as
屈原,"【杨志刚｜<em class=""keyword"">屈原</em>】真·美人落泪",7647,1,117,易安的动态日记本,"屈原,古装,影视剪辑,杨志刚,必剪创作,星动安利大作战,星动安利大作战·初夏篇",BV1Sh4y1G7iH,https://www.bilibili.com/video/BV1Sh4y1G7iH
屈原,"○ 楚怀王x<em class=""keyword"">屈原</em>｜君臣向｜&quot;你手里的橘子总是甜的&quot;",13842,26,395,陈烟头儿,"视频剪辑,打卡挑战,典籍里的中国,屈原,楚怀王,君臣向,王洛勇,汤镇业",BV1JA411A7Uz,https://www.bilibili.com/video/BV1JA411A7Uz
