movie,bilibili_movie_dataall_play_count_plays_log_minmax,bilibili_movie_dataall_followers_followers_log_minmax,bilibili_movie_dataall_likes_interactions_log_minmax,bilibili_movie_dataall_coins_interactions_log_minmax,bilibili_movie_dataall_total_favorite_log_minmax,bilibili_movie_dataall_shares_interations_log_minmax,bilibili_movie_dataall_danmu_interactions_log_minmax,bilibili_movie_dataall_score_ratings_log_minmax,bilibili_movie_creations_creations_log_minmax,bilibili_movie_creations_videos_log_minmax,bilibili_movie_comments_comment_count_log_minmax,movie_imdb_final_new_rating_votes_log_minmax,movie_imdb_final_new_rating_score_minmax
茶啊二中,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.942400495319201,0.0,0.28754394689292756,0.75
萌鼠大冒险,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9385905960279036,0.0,,
落凡尘,0.7286147962093976,0.6777836171375543,0.5485139080077552,0.7777487285958333,0.6809061642268988,0.7013801040722621,0.6422267765193209,0.9921446645879025,0.0,0.0,0.7722910066054188,0.2947430348746716,0.875
蚂蚁传奇,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
贝肯熊：火星任务,0.1791149952712056,0.2725179407720775,0.13641687430411892,0.2112685805550172,0.18658015563973904,0.22646765724517615,0.28298904390526686,0.0,0.7406022510826102,0.8316549609512548,0.5248252013344648,,
超级英雄美猴王：齐天儿,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9871324014337393,0.0,,
超级飞侠：乐迪加速,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,1.0,0.0,,
趣说经典,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
迷你特工队,0.10421575650793938,0.0,0.0,0.0,0.0,0.0,0.03304541598598203,0.0,0.0,0.0,0.39775171231658274,,
长安三万里,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9800529192330785,0.0,0.4550553257331425,1.0
阿狸,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
雄狮少年,0.5853196329204822,0.5690351269518821,0.5981051181688439,0.8507340244698459,0.6913081994868496,0.7098332453233521,0.7085167395384954,0.9800792940238952,0.0,0.0,0.9609330902795868,0.45765192349980294,1.0
雪域少年,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,1.0,0.9237624885200065,0.0,,
非人哉：限时玩家,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,,
飞向月球,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.9033534448888034,0.9368539992384066,0.0,,
龙珠寻游记,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.9033534448888034,0.8734667100165725,0.0,1.0,0.875
龙门,0.055684171416797365,0.11845531626405797,0.00811533629201144,0.06804148864576713,0.09940400555907668,0.09531071736049071,0.022454157195050634,0.0,0.0,0.0,0.0,0.6068876697709765,0.6000000000000001
