anime,bilibili_movie_dataall_play_count_plays_log_minmax,bilibili_movie_dataall_followers_followers_log_minmax,bilibili_movie_dataall_likes_interactions_log_minmax,bilibili_movie_dataall_coins_interactions_log_minmax,bilibili_movie_dataall_total_favorite_log_minmax,bilibili_movie_dataall_shares_interations_log_minmax,bilibili_movie_dataall_danmu_interactions_log_minmax,bilibili_movie_dataall_score_ratings_log_minmax,bilibili_movie_creations_creations_log_minmax,bilibili_movie_creations_videos_log_minmax,bilibili_movie_comments_comment_count_log_minmax,movie_imdb_final_new_rating_votes_log_minmax,movie_imdb_final_new_rating_score_minmax,movie_post_count_movie_log_minmax,baidu_movie_index_summary_filled_sum_log_minmax,baidu_movie_index_summary_filled_mean_log_minmax,complete_industry_movie_result_filled_game_count_minmax,complete_industry_movie_result_filled_show_count_minmax,complete_industry_movie_result_filled_work_count_minmax,complete_industry_movie_result_filled_patent_count_log_minmax,douban_movie_final_score_x_minmax,douban_movie_final_votes_douban_log_minmax,douban_movie_final_comment_count_log_minmax,douban_movie_final_review_count_log_minmax,douyin_movie_final_num_log_minmax,douyin_movie_final_likes_log_minmax,douyin_movie_final_comments_log_minmax,douyin_movie_final_shares_log_minmax,tieba_stats_from_excelmovie_new_followers_log_minmax,tieba_stats_from_excelmovie_new_posts_log_minmax
聊斋：兰若寺,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.162421071,0,0.137506735,0,0,0,0,0.615384615,0.745241763,1,1,0,0,0.158089533,0.255056282,0,0
舒克贝塔·五角飞碟,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.685492462,0,0.137506735,0,0,0,0,0.5,0.543044367,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0,0
茶啊二中,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.942400495,0,0.403134679,0.866666667,0.85443771,0.879496547,0.719239951,0,0,0,0.757386681,0.730769231,0.841319524,1,1,0.274434541,0.493276673,0.509223416,0.535953881,0.685188676,0.618955842
萌鼠大冒险,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.938590596,0,0,0,0.303116602,0,0.137506735,1,0,0,0.493243762,0.615384615,0,0.927808476,0,0,0.297564512,0.229895085,0.34288944,0,0
落凡尘,0.728614796,0.677783617,0.548513908,0.777748729,0.680906164,0.701380104,0.642226777,0.992144665,0,0,0.772291007,0.409165768,0.933333333,0.929730544,0.761700854,0.444925496,1,0,0,0.755256401,0.807692308,0.780021769,1,1,0.274434541,0.529901956,0.411686669,0.45804787,0.383092114,0.489153525
蚂蚁传奇,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.366993816,0,0.137506735,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0.177000766,0.245932956
贝肯熊：火星任务,0.179114995,0.272517941,0.136416874,0.211268581,0.186580156,0.226467657,0.282989044,0,0.740602251,0.831654961,0.524825201,0,0,0.929730544,0,0.137506735,0,0,0,0.561847678,0.615384615,0.597655188,1,1,0.434968456,0.081652933,0.120494878,0,0,0
超级英雄美猴王：齐天儿,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.987132401,0,0,0,0,0,0.137506735,0,0,0,0.183674877,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0,0
超级飞侠：乐迪加速,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,1,0,0,0,0.965450959,0,0.137506735,0,0,0,0.636110798,0.538461538,0.582448273,1,1,0,0.297564512,0.229895085,0.34288944,0,0
趣说经典,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.773347606,0,0.137506735,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0,0
迷你特工队,0.104215757,0,0,0,0,0,0.033045416,0,0,0,0.397751712,0,0,0.85443771,0.821544478,0.584251386,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0.541745863,0.459599303
长安三万里,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.980052919,0,0.543468574,1,0.85443771,0.935881178,0.850603897,0,0,0,0.828713044,0.923076923,0.950778716,1,0.983974444,0.434968456,0.373655749,0.320211946,0.481241362,0.430920562,0.390947991
阿狸,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.814672563,0.763614245,0.449378352,1,0.066666667,0,0,0.615384615,0,1,0.983974444,0.274434541,0.727949306,0.555880305,0.692939024,1,0.842782348
雄狮少年,0.585319633,0.569035127,0.598105118,0.850734024,0.691308199,0.709833245,0.70851674,0.980079294,0,0,0.96093309,0.545643893,1,0.929730544,0.795131958,0.52274619,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0.674952987,0.830320607,0.685796638,0.732284303,0.504999033,0.542147055
雪域少年,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.923762489,0,0,0,0.730335457,0,0.137506735,0,0,0,0.202147498,0.615384615,0,1,0.756304196,0,0.297564512,0.229895085,0.34288944,0,0
非人哉：限时玩家,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.303116602,0,0.137506735,0,0,0,0,0.192307692,0.586348771,1,1,0,0.297564512,0.229895085,0.34288944,0,0
飞向月球,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0.903353445,0.936853999,0,0,0,0.685492462,0.648280499,0.181516164,1,0.1,0,0.168303828,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0.290892383,0.302836484
龙珠寻游记,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0.903353445,0.87346671,0,1,0.933333333,0.303116602,0,0.137506735,0,0,0,1,0.615384615,0,0,0,0,0.297564512,0.229895085,0.34288944,0,0
龙门,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.670667242,0.786666667,0.814672563,0.743386848,0.402313884,0,1,0,0,0.615384615,0.556996352,1,0.983974444,0.63721727,0.820798968,0.617200594,0.762476524,0.734828187,0.701927231
