movie,game_count,show_count,work_count,patent_count
嘀嗒传奇,0,0,0,0
嘟嘟小分队,0,0,0,0
四季童年,0,0,0,0
四格勇者,1,0,0,0
回铭,0,0,0,0
土波兔,0,0,0,0
土红色的骆驼,0,0,0,0
圣尊助理的我已经无敌了,0,0,0,0
在下“英台”,0,0,0,0
地上城与勇士,1,0,0,0
地下城与勇士,1,0,1,0
多多趣味识字课堂,0,0,0,2231685
夜光溯明,0,0,0,10113
大侠请上功,0,0,0,0
大侦探熊猫猪,0,0,0,0
大宇宙时代,1,0,0,0
大宝大牙科学探索,0,0,0,0
大森林里的小故事,0,0,0,0
大盗贼,0,0,0,0
大英雄狄青,0,0,0,122146
大象无形,0,0,1,0
大运河奇缘,0,0,0,0
大道朝天,0,0,0,0
大雨,1,0,0,6660
天命出马仙,0,0,0,0
天命大主宰,0,0,0,0
天外福星,0,0,0,82556
天界代购店,0,0,1,0
天眼之父南仁东,0,0,0,0
头脑特工队,1,0,0,0
奇奇和努娜,1,0,0,0
奇奇妙妙博物馆,0,0,0,0
奇妙大冒险,1,0,0,0
奇特工程车,0,0,0,0
奇特益智工程车,0,0,0,0
奇趣特工队,1,0,0,0
女娲补天,0,0,0,0
奶泡泡学成语,0,0,0,0
好伙伴,1,0,0,0
好猫咪咪,0,0,0,0
如果历史是一群喵,0,0,0,0
妖神记,0,0,1,0
妖道至尊,0,0,1,11367
妙趣横生恐龙世界,0,0,0,0
妙趣横生故事汇,0,0,0,0
始祖的足迹,1,0,0,213
威力成长记,1,0,0,0
嫁人就嫁灰太狼,0,0,0,0
孔子归来,0,0,0,0
孔子见老子,0,0,0,0
守龙者,1,0,0,0
安全小卫士,0,0,0,0
宗门里除了我都是卧底,0,0,0,0
宝宝乐学堂,0,0,0,0
宝莲灯,1,3,1,9443
家有开心果,0,0,0,44
封灵特优生,1,0,0,90
小刺猬吉吉,1,0,0,0
小刻的画图写话,0,0,0,3810182
小和尚,0,1,1,0
小品一家人,0,0,0,0
小小的世界,0,1,0,0
小小知道,1,0,0,0
小强与旺财,0,0,0,0
小熊猫学木匠,0,0,0,0
小猫威力,0,0,0,0
小神有戏,0,0,0,0
小绿和小蓝,0,0,1,2
小羊哈哈童年日记,0,0,0,0
小花仙,1,0,0,892
小草帽,1,1,0,0
小药童也想修仙,0,0,0,0
小蛋壳,0,0,0,0
小蜜蜂,1,1,1,0
小诗人,0,2,0,0
小豆的微观世界,0,0,0,0
小鲤鱼历险记,1,0,0,0
小鸡丫丫动起来,0,0,0,0
小鸡丫丫的日常百科,0,0,0,0
小鸡彩虹,0,0,0,0
小鹿蓝蓝,0,0,0,0
少年歌行,1,0,0,0
少年苏东坡传奇,0,0,0,0
少年英雄小哪吒,0,0,0,0
尼尼和她的好朋友,0,0,0,0
屈原,0,2,0,0
山山田田间,0,0,0,30652
山海宝贝,0,0,0,0
山海封神,0,0,1,0
崂山道士,0,0,0,0
工程车救援行动队,0,0,0,0
巧虎奇幻舞台历险记,0,0,0,0
巴塔木晚安故事,0,0,0,11
年,1,30,1,0
幻宠师,1,0,0,0
应该靠自己,0,0,0,0
开局一条鲲,0,0,1,0
开局地摊卖大力,0,0,0,0
开心动物园,0,0,0,0
开心超人,1,0,0,0
异人君莫邪,0,0,0,0
异空战歌,0,0,0,7224
弟子都说我无敌,0,0,0,0
张飞审瓜,0,0,0,0
彩虹宝宝,0,0,0,0
彩虹森林的故事,0,0,0,0
彭祖传奇,0,0,0,0
心奇爆龙战车,0,0,0,0
心源,1,0,0,0
快乐家家车,0,0,0,0
快乐小郑星,0,0,0,0
快乐熊兜兜,0,0,0,0
快乐熊猫一家人,0,0,0,0
快乐的海洋,1,0,0,0
念无双,0,0,0,0
怪兽家族,0,0,0,0
怪兽小馆,1,0,0,0
怪城,0,1,0,0
怪想售,0,0,0,0
怪老头儿,0,0,0,0
恐龙时代,0,0,0,0
恰同学少年,0,4,0,0
愚人买鞋,0,0,0,0
成语中国,0,0,0,0
成语诗词荟萃,0,0,0,0
我为刀宗,0,0,0,0
我们渡江啦,0,0,0,0
我叫MT,1,0,1,0
我在修仙世界朝九晚五,0,0,0,0
我在未来有套房,0,0,0,0
我在末世搬金砖,0,0,1,0
我在魔界当大佬,0,0,0,0
我是发明家,0,0,0,0
我玩游戏成了绝世强者,0,0,0,233
我的三体,1,0,0,287
我的师傅每到大限才突破,0,0,0,0
我的师兄太强了,0,0,0,0
我的弟子遍布诸天万界,0,0,0,0
我的弟子都超神,0,0,1,0
我真不是大反派啊,0,0,0,923947
我真的不想当,0,0,1,622899
我靠签到逆天改命,0,0,0,0
托宝战士,0,0,0,0
抬驴,0,0,0,0
拇指总动员,0,0,0,0
捕星司·源起,0,0,0,2561
掌门低调点,0,0,1,0
探索生活小百科,0,0,0,0
探险中的小百科,0,0,0,7638
故事小号手,0,0,0,0
故事王国,1,0,0,0
数学魔法,0,0,0,0
斗破苍穹,1,0,1,19342
斗破苍穹 年番,1,0,0,357
斗罗大陆剧场版 剑道尘心,0,0,0,23
新·异常生物见闻录：序,1,0,0,0
新大头儿子和小头爸爸 智能小当家,0,0,0,0
新大头儿子和小头爸爸 欢乐亲子营,0,0,0,6
新大头儿子和小头爸爸传奇兜兜,0,0,0,0
旅途危机！圣芙蕾雅号特别事件,0,0,0,821
无聊就完结,1,0,0,10847
无脑魔女,1,0,0,0
日出原理,0,0,0,0
时光代理人,0,0,0,969334
时光的画笔,1,0,0,0
明日恐惧症,0,0,0,0
明日方舟：冬隐归路,0,0,0,6211897
明日方舟：焰烬曙明,0,0,0,970237
星原小宝,0,0,0,582771
星星班长,0,0,0,0
星期五晚上的胡萝卜,0,0,0,38
春芽宝贝,0,0,0,0
是假千金也要手握团宠剧本,0,0,0,0
是王者啊？,1,0,0,48568
晓晓成长日记,0,0,0,0
晚高峰,0,3,0,0
智慧村的故事,1,0,0,681
暂停！智序重组,0,0,0,56693
曹冲称象,0,0,1,0
最强反套路系统,0,0,1,5139
最强弃少,0,0,1,48001
最强神王,0,0,1,0
最强神赐,0,0,1,0
月魁传 动态漫画,0,0,0,0
木头岛的故事,0,0,0,0
木木博士,0,0,0,0
机米和露露,1,0,0,0
杰米熊,0,0,0,0
枕刀歌,1,0,0,0
林海雪原,1,0,0,0
核晶少年,0,0,0,0
桃花夫人,0,0,0,0
桃花扇,0,0,0,0
梦想总动员,0,0,0,0
棉花糖和云朵妈妈 快乐生活,0,0,0,2197
棉花糖和云朵妈妈超级小米花,0,0,0,0
棒波免的海洋之旅,0,0,0,0
槑好时光·城南忆事,0,0,0,0
橡树餐厅,0,0,0,0
欢乐小狮子,0,0,0,0
正经少主的幸福生活,0,0,0,96
武碎星河,1,0,0,0
每天朝山顶推一秒的石头,0,0,0,0
毛毛镇,0,0,0,0
民族风情,0,3,0,0
民调局异闻录,0,0,0,0
水果三国,0,0,0,0
汉化日记,0,0,0,0
汽车世界城市大冒险,0,0,0,0
汽车星球,1,0,0,0
没头脑和不高兴,0,0,0,81
没牙的老虎,0,0,0,0
洞天,0,30,0,0
海尔兄弟高清,0,0,0,0
淘气猪多多,1,0,0,0
淘淘与小布,0,0,0,0
漫虫记,0,0,0,0
漫赏秦腔,0,0,0,0
火凤燎原,0,0,0,771789
火星西路,0,0,0,0
火火兔学古诗,0,0,0,915455
灵笼,1,0,1,0
灵草小战士,1,0,0,0
炫卡斗士,0,0,0,0
炼气练了三千年,0,0,1,464
熊猫百货商店,0,0,0,0
燃夏,0,2,0,0
爆炫星陀,0,0,0,0
爸爸妈妈小时候的故事,0,0,0,0
牛牛和西西,0,0,0,0
牧神记,1,0,1,0
狼来了,1,0,1,0
猩猩探长,0,0,0,0
猪多多,0,0,0,0
猪多多成长日记,0,0,0,0
猪猪·吉利·小财神,0,0,0,0
猪猪侠,0,0,0,0
猪猪侠大电影·星际行动,0,0,0,0
猪猪侠恐龙爆笑研究所,0,0,0,0
猪猪侠爆笑科普乐园,0,0,0,0
猪猪侠益智课堂,0,0,0,87
猫和老鼠：星盘奇缘,0,0,0,155669
猴子捞月,0,0,1,0
玉米的歌声,1,0,0,0
王安石与鄞县,0,0,0,92
玲珑骰,1,0,0,0
瑞奇宝宝,1,0,0,0
画廊一夜,0,0,0,0
疯狂小糖,0,0,0,0
白玉堂,0,0,0,1905289
白色闪电,1,0,0,4510
白蛇：浮生,0,0,0,4613
百变宝贝,0,0,0,0
百变布鲁可,0,0,0,0
百变校巴,0,0,0,0
百变校巴成语故事,0,0,0,0
百变校巴成长绘本,0,0,0,0
百变校巴英文儿歌,0,0,0,0
百变雄师,0,0,0,0
百妖谱,0,0,0,0
百工灵,0,0,0,0
皮皮的故事,0,0,0,0
盐友,0,0,1,0
盒中之海,1,0,0,142509
盟卡车神,0,0,0,0
目标一亿积分,1,0,0,0
相亲式修真道侣,0,0,0,0
真假李逵,0,0,1,0
真理面具,0,0,0,1433463
知宝学堂,0,0,0,0
神之一脚,0,0,0,0
神兽小岛,0,0,0,0
神墓,1,0,0,0
神奇小队,0,0,0,43325
神奇画笔看世界,0,0,0,0
神奇的朋友 咖宝蛋神,0,0,0,10571
神奇飞船,1,0,0,0
神奇马戏团,0,0,0,0
神豪,1,0,1,0
神道帝尊,0,0,0,0
福娃,0,0,0,1
穿越云南三千年 云小志漫游记,0,0,0,0
童心向阳,0,0,0,0
第一序列,0,0,1,0
笼中人,1,0,0,0
米乐米可,0,0,0,16602
精灵梦叶罗丽,0,0,1,49431
精灵蒲公英,1,0,0,0
系统逼我做反派,0,0,1,0
紫川,0,0,0,0
繁花似锦,1,0,0,0
红孩儿传奇,0,1,0,0
红鼻子,0,0,0,0
纳尤古传奇,0,0,0,0
纸朋友,0,0,0,0
给我来个小狐狸,0,0,0,0
绿毛怪格林奇,0,0,0,0
绿野森林的故事,0,0,0,0
缔灵爱,1,0,0,0
缥缈剑仙传,0,0,0,0
罗米熊与丹米兔,0,0,0,0
美猴王,1,6,1,1131
老狼请客,0,0,0,0
聪明的笨小猪,0,0,0,0
聪明的阿凡提,1,0,0,0
胶囊计划,0,0,0,0
胶囊计划 英雄,0,0,0,0
航天双子星,0,0,0,0
船员历险记,0,0,0,0
节气小精灵,0,0,0,0
苍兰诀,0,2,1,7
荒岛历险记,1,0,0,0
菠萝王国,0,0,0,265
萌果乐多多,0,0,0,0
葫芦兄妹,0,0,0,0
蔬菜不寂寞,0,0,0,0
虎鹤妖师录,0,0,0,0
虚无边境,1,0,0,0
虫小绿历史为什么,0,0,0,0
虹猫蓝兔七侠传,1,0,0,0
虹猫蓝兔海底历险记,0,0,0,5509814
蛮荒仙界,0,0,0,0
西游漫记,0,0,0,0
论语智慧,0,0,0,0
请吃红小豆吧！食物世界,0,0,0,0
诸葛亮,0,0,0,0
豆豆一家人,0,0,0,0
豫游记,1,0,0,0
贝肯熊：火星任务,0,0,0,0
财宝小狐狸,0,0,0,0
贾老爷开店,0,0,0,0
赘婿,1,0,1,219
赛几传说,1,0,0,0
赛尔号,1,0,1,1
赵琳的探险日记,0,0,0,0
超元绝战,0,0,0,287906
超变兽车侠,0,0,0,0
超变战陀,0,0,0,0
超级微信,0,0,1,0
超级球迷,1,0,0,0
趣说中华名人故事,0,0,0,0
趣说经典,0,0,0,8315
路,1,30,1,0
跳跳鱼世界,1,0,0,0
跳跳鱼世界故事会,0,0,0,14450
车宝乐园,0,0,0,8
转战,1,0,0,0
这个大佬画风不对,0,0,0,15449
逐梦少年,0,0,0,0
通灵妃,0,0,1,0
道君,0,0,1,534
邂逅她的少女时代,0,0,0,0
那年那兔那些事儿,1,0,0,0
都市最强仙尊,0,0,0,0
都市最强房东,0,0,0,0
都市神医：七个师姐保我无敌,0,0,0,438113
都市阴阳仙医,0,0,1,0
重生,1,0,1,0
重生归来：直接无敌,0,0,0,0
重生都市天尊,0,0,1,0
金蚕往事,0,0,0,0
钟南山的故事,0,0,0,0
钟点父子,0,0,0,0
钢铁飞龙,0,0,0,0
银河封神纪,0,0,0,5176
镇魂街,1,0,0,198537
长歌行,0,0,0,981
闪亮闪亮太伶美,0,0,0,0
阿U学堂,0,0,0,0
阿U学英语,0,0,0,0
阿优学科学,0,0,0,0
阿诺德和他可爱的木偶们,0,0,0,0
隐身探长,0,0,0,0
雪孩子,1,1,1,0
雪王,0,0,0,0
雪王驾到,0,0,0,105195
霸王龙雷奇,0,0,0,0
青田小田鱼,0,0,0,0
非人哉,0,0,1,41072
风尘小游侠,0,0,0,0
风速少年团,0,0,0,0
风雪山神庙,0,1,0,0
飞天狐和卡卡,0,0,0,0
飞越五千年,0,0,0,0
飞龙天降,0,0,0,0
食草老龙被冠以恶龙之名,0,0,0,6
鬼吹灯,1,0,1,0
魔方战士,1,0,0,0
魔法可可,0,0,0,388
魔法学院,1,0,0,112401
魔鬼芯片,0,0,0,0
鲲吞天下,0,0,0,2962
鸭丫俱乐部,0,0,0,133904
鹿宝贝朗迪,0,0,0,0
鹿铃,0,0,0,0
黑云国历险记,1,0,0,0
黑神话：悟空,1,0,0,0
龅牙的快乐生活,0,0,0,0
龙宝小英雄,0,0,0,0
龙族Ⅱ,0,0,0,257046
龙门,1,30,1,0
